,station_code,7/8/19 8:00,7/8/19 9:00,7/8/19 10:00,7/8/19 11:00,7/8/19 12:00,7/8/19 13:00,7/8/19 14:00,7/8/19 15:00,7/8/19 16:00,7/8/19 17:00,7/8/19 18:00,7/8/19 19:00,7/8/19 20:00,7/8/19 21:00
0,6001,151,90,11,12,4,11,9,17,10,4,10,4,5,0
1,6003,54,29,12,7,2,9,8,12,-2,-58,0,-6,1,0
2,6005,46,22,11,2,1,6,5,10,-20,-3,-1,3,-3,0
3,6007,43,18,11,4,-6,0,4,5,-8,10,-4,3,-5,0
4,6008,32,17,8,1,5,3,10,7,8,-19,8,-5,4,0
5,6012,38,15,7,0,3,3,3,3,0,-87,-53,1,4,0
6,6013,28,21,10,-2,5,7,3,-5,-18,-12,1,-10,1,0
7,6020,23,19,7,5,3,4,2,3,-9,-4,4,5,4,0
8,6021,29,17,4,1,-1,4,-7,3,-9,-6,-1,-14,-2,0
9,6027,25,2,3,0,0,1,3,-1,0,-11,9,-4,-5,0
10,6031,23,19,-1,4,1,3,1,-1,0,-27,4,-2,-2,0
11,6032,28,15,5,-8,5,4,2,6,-16,3,-10,-19,-1,0
12,6035,15,13,3,3,-2,1,-5,0,-3,-14,3,-8,-11,0
13,6042,8,14,3,-5,1,4,-3,-2,0,-5,-4,-25,1,0
14,6043,18,15,2,2,4,2,0,2,-6,-6,0,0,2,0
15,6046,23,12,-1,-4,0,1,3,-7,2,-57,1,2,3,0
16,6047,22,8,-2,0,3,2,-4,-3,-11,7,-4,-1,2,0
17,6053,22,11,4,-3,-3,5,2,-1,-1,0,-1,1,-1,0
18,6057,19,-7,3,0,2,4,1,2,-4,0,0,1,-5,0
19,6059,4,10,3,2,-2,3,4,1,-12,0,-1,0,-6,0
20,6060,20,9,0,3,-1,4,2,-1,5,-24,4,0,-2,0
21,6061,16,-1,1,2,1,3,1,-7,-1,-12,1,0,1,0
22,6066,14,0,4,0,-3,-5,1,2,-5,-18,-2,3,2,0
23,6070,14,5,4,3,2,-2,0,-1,-26,0,-1,0,0,0
24,6072,4,10,3,3,3,4,0,-6,1,4,1,0,-11,0
25,6073,6,9,2,-4,3,2,4,3,-3,3,0,-10,1,0
26,6075,-2,2,1,1,0,-2,4,-2,-4,0,-3,-1,0,0
27,6078,8,3,1,-3,-2,-2,-7,3,2,-3,-10,-3,-3,0
28,6079,0,-2,2,0,5,0,1,-12,1,2,0,0,0,0
29,6083,5,2,-1,2,1,0,0,0,-19,-1,-3,-4,-4,0
30,6117,8,0,1,3,-1,2,2,-5,-2,-6,-3,0,1,0
31,6180,12,5,1,-1,1,3,-2,-1,0,-3,-29,1,-1,0
32,6202,5,-2,-2,-1,-4,0,-2,-6,3,-10,-1,-1,-1,0
33,6203,10,1,2,-4,1,-1,-5,-1,-11,0,0,2,0,0
34,6204,10,3,1,1,1,1,0,1,-5,0,0,0,1,0
35,6205,0,5,0,-1,1,2,-4,0,-5,-1,1,0,-2,0
36,6206,2,3,0,-2,-2,1,-3,1,-7,-18,0,0,0,0
37,6207,8,-4,-1,-1,0,-2,0,-1,-8,-1,0,1,0,0
38,6208,3,1,-5,-3,-2,2,-1,-5,-16,3,-9,-3,0,0
39,6209,-5,-3,-3,1,1,-2,-2,-2,0,-8,0,1,1,0
40,6214,-5,-5,-1,2,1,0,-7,-10,-22,2,-3,-9,0,0
41,6215,-4,2,2,0,2,0,1,0,-12,3,-20,-2,-2,0
42,6218,-4,-1,2,0,-1,2,-5,-12,1,-5,0,2,0,0
43,6359,-3,0,-2,0,-1,1,0,-4,-7,-18,-1,2,-1,0
44,6411,-1,-3,0,-5,0,-1,-2,-1,-4,-7,0,0,0,0
45,6413,3,2,-2,1,1,-4,-1,2,-31,-8,0,0,1,0
46,6738,-10,-6,0,0,-1,-2,1,-1,2,-28,0,0,0,0
47,7033,6,-1,0,1,-2,0,-6,-4,-28,-3,1,0,0,0
48,7037,-6,1,-3,-2,-2,1,0,-3,-14,-40,0,0,-1,0
49,7038,2,1,-1,1,-1,-5,0,-3,-8,-7,-1,1,0,0
50,7041,-10,-2,0,-9,-3,-3,-2,-3,-9,-8,-5,-5,0,0
51,7046,-4,-1,0,1,0,-1,0,-2,-8,-1,0,-10,0,0
52,7066,-7,1,-1,0,3,-1,0,-2,-1,-2,-2,0,-4,0
53,7067,-11,0,0,-1,0,-1,0,-4,-5,-17,0,0,-1,0
54,7069,-6,0,0,0,-2,-3,-2,-1,0,-15,0,-1,0,0
55,7080,-1,1,0,-5,0,0,0,0,-14,-3,-7,0,-3,0
56,7083,-6,0,-1,0,-2,-2,-5,0,-2,-13,-5,-4,0,0
57,7084,0,0,-3,-2,-2,-7,0,-4,-8,0,0,0,-4,0